imdb_id,title,genre,imdb_rating,votes,year
tt1839578,person of interest,"Action, Crime, Drama",8.5,193414,2011
tt3230854,the expanse,"Drama, Mystery, Sci-Fi",8.5,177405,2015
tt4179452,the last kingdom,"Action, Drama, History",8.5,172242,2015
tt2575988,silicon valley,Comedy,8.5,169837,2014
tt0487831,the it crowd,Comedy,8.5,167365,2006
tt3526078,schitt's creek,Comedy,8.5,152286,2015
tt1758429,spartacus: gods of the arena,"Action, Adventure, Biography",8.5,147809,2011
tt12343534,jujutsu kaisen,"Action, Adventure, Animation",8.5,134327,2020
tt0290978,the office,"Comedy, Drama",8.5,125552,2001
tt5189670,making a murderer,"Crime, Documentary",8.5,104309,2015
tt6077448,sacred games,"Action, Crime, Drama",8.5,94230,2018
tt0112159,neon genesis evangelion,"Action, Animation, Drama",8.5,90863,1995
tt3502248,bosch,"Crime, Drama",8.5,86032,2014
tt10638036,heartstopper,"Drama, Romance",8.5,83064,2022
tt1492966,louie,"Comedy, Drama",8.5,82929,2010
tt0314979,battlestar galactica,"Action, Adventure, Drama",8.5,81536,2003
tt0421357,fullmetal alchemist,"Action, Adventure, Animation",8.5,79628,2003
tt4093826,twin peaks,"Crime, Drama, Horror",8.5,78345,2017
tt0088509,dragon ball,"Action, Adventure, Animation",8.5,68872,1986
tt11912196,asur: welcome to your dark side,"Crime, Drama, Mystery",8.5,67162,2020
tt0863046,flight of the conchords,"Comedy, Music, Musical",8.5,66978,2007
tt0280249,dragon ball,"Action, Adventure, Animation",8.5,66795,1995
tt3428912,happy valley,"Crime, Drama, Thriller",8.5,66781,2014
tt0068098,m*a*s*h,"Comedy, Drama, War",8.5,65319,1972
tt7120662,derry girls,Comedy,8.5,64469,2018
tt1710308,regular show,"Action, Adventure, Animation",8.5,61914,2010
tt0278238,samurai jack,"Action, Adventure, Animation",8.5,61324,2001
tt0187664,spaced,Comedy,8.5,58471,1999
tt0423731,samurai champloo,"Action, Adventure, Animation",8.5,57268,2004
tt2937900,the knick,"Drama, History",8.5,53405,2014
tt0275137,justice league,"Action, Adventure, Animation",8.5,53035,2001
tt8289930,formula 1: drive to survive,"Documentary, Sport",8.5,52866,2019
tt0290988,trailer park boys,"Comedy, Crime",8.5,52349,2001
tt0402711,boston legal,"Comedy, Crime, Drama",8.5,50881,2004
tt0237123,coupling,"Comedy, Romance",8.5,48261,2000
tt0163507,whose line is it anyway?,"Comedy, Game-Show",8.5,47048,1998
tt3895150,your lie in april,"Animation, Comedy, Drama",8.5,40210,2014
tt2359704,jojo's bizarre adventure,"Action, Adventure, Animation",8.5,38274,2012
tt0373732,the boondocks,"Action, Animation, Comedy",8.5,36982,2005
tt12714854,mumbai diaries,"Drama, Thriller",8.5,30876,2021
tt1526318,borgen,Drama,8.5,30586,2010
tt11301642,ethos,"Drama, Thriller",8.5,30108,2020
tt1299368,southland,"Crime, Drama, Thriller",8.5,29581,2009
tt0043208,i love lucy,Comedy,8.5,29460,1951
tt10802170,the rehearsal,"Comedy, Documentary",8.5,27231,2022
tt9398466,delhi crime,"Crime, Drama",8.5,26912,2019
tt0075520,jesus of nazareth,"Biography, Drama, History",8.5,25397,1977
tt16296870,the railway men,"Drama, History, Thriller",8.5,25301,2023
tt1353056,rupaul's drag race,"Game-Show, Reality-TV",8.5,23947,2009
tt0088727,anne of green gables,"Drama, Family",8.5,23181,1985
tt0262985,queer as folk,"Drama, Romance",8.5,22845,2000
tt9522300,kaguya-sama: love is war,"Animation, Comedy, Romance",8.5,22012,2019
